map_id,t_start,expert_safety,expert_goal,expert_smooth,expert_total,expert_collide,expert_min_clr,expert_pos_err,noisy_safety,noisy_goal,noisy_smooth,noisy_total,noisy_collide,noisy_min_clr,noisy_pos_err,bad_safety,bad_goal,bad_smooth,bad_total,bad_collide,bad_min_clr,bad_pos_err
map_s2_n1_r0,84,-0.0,-1.3971,-0.0,-1.3971,0,3.948,8.679,-0.0,-1.3871,-0.2335,-1.5039,0,3.956,8.652,-0.0,-1.3971,-1.0,-1.8971,0,4.49,7.682
map_s2_n1_r1,0,-0.0,-1.8175,-0.093,-1.864,0,2.7,12.281,-0.0,-1.8275,-0.3068,-1.9809,0,2.7,12.296,-0.0,-1.0229,-1.0,-1.5229,0,2.7,16.746
map_s2_n1_r2,7,-0.0,-1.3313,-0.0565,-1.3596,0,2.56,8.838,-0.0,-1.3413,-0.2634,-1.473,0,2.565,8.864,-0.0,-1.6844,-1.0,-2.1844,0,0.877,12.654
map_s2_n3_r0,8,-0.0,-1.9761,-0.0565,-2.0044,0,1.742,9.448,-0.0,-1.9662,-0.2615,-2.0969,0,1.743,9.449,-0.0,-1.8008,-1.0,-2.3008,0,1.175,9.883
map_s2_n3_r1,0,-0.0,-1.1505,-0.0565,-1.1788,0,1.977,9.291,-0.0,-1.1406,-0.2688,-1.275,0,1.979,9.29,-0.3064,-1.1273,-1.0,-1.9337,0,0.347,11.845
map_s2_n3_r2,0,-0.0,-1.0245,-0.0565,-1.0528,0,2.019,6.304,-0.0,-1.0345,-0.268,-1.1685,0,2.019,6.284,-0.0,-1.934,-1.0,-2.434,0,2.019,10.091
map_s2_n5_r0,75,-0.0,-0.7743,-0.0,-0.7743,0,1.177,0.545,-0.0,-0.7845,-0.2335,-0.9013,0,1.177,0.545,-0.0,-1.0408,-1.0,-1.5408,0,1.177,1.078
map_s2_n5_r1,0,-0.0,-1.0396,-0.0565,-1.0679,0,1.384,8.729,-0.0,-1.0297,-0.2695,-1.1644,0,1.379,8.733,-0.0,-1.4792,-1.0,-1.9792,0,0.737,10.822
map_s2_n5_r2,26,-0.0,-1.3422,-0.0565,-1.3705,0,1.995,10.865,-0.0,-1.3323,-0.2651,-1.4648,0,1.972,10.858,-0.0,-1.4982,-1.0,-1.9982,0,1.679,11.216
map_s5_n1_r0,0,-0.0,-1.3157,-0.0565,-1.3439,0,26.74,24.254,-0.0,-1.3057,-0.2684,-1.4399,0,26.768,24.239,-0.0,-1.7383,-1.0,-2.2383,0,28.868,28.422
map_s5_n1_r1,0,-0.0,-1.6191,-0.0565,-1.6473,0,6.75,34.42,-0.0,-1.6291,-0.2609,-1.7595,0,6.75,34.409,-0.0,-1.0229,-1.0,-1.5229,0,6.75,38.747
map_s5_n1_r2,10,-0.0,-1.1177,-0.0565,-1.146,0,9.015,20.861,-0.0,-1.1277,-0.2553,-1.2554,0,9.023,20.869,-0.0,-1.5889,-1.0,-2.0889,0,5.923,25.746
map_s5_n3_r0,0,-0.0,-1.9852,-0.0565,-2.0135,0,4.808,29.821,-0.0,-1.9752,-0.2644,-2.1074,0,4.802,29.827,-0.0,-1.5462,-1.0,-2.0462,0,3.155,31.877
map_s5_n3_r1,0,-0.0,-1.1465,-0.0565,-1.1748,0,5.187,28.726,-0.0,-1.1366,-0.2693,-1.2712,0,5.189,28.726,-0.0,-1.1273,-1.0,-1.6273,0,2.505,31.003
map_s5_n3_r2,0,-0.0,-1.2072,-0.0565,-1.2355,0,5.049,17.34,-0.0,-1.1972,-0.274,-1.3342,0,5.049,17.309,-0.0,-1.934,-1.0,-2.434,0,5.049,20.245
map_s5_n5_r0,22,-0.0,-1.5195,-0.0012,-1.5201,0,1.603,14.621,-0.0,-1.5295,-0.2335,-1.6462,0,1.627,14.622,-0.0,-1.5215,-1.0,-2.0215,0,2.599,14.866
map_s5_n5_r1,0,-0.0,-1.0482,-0.0565,-1.0764,0,3.89,26.929,-0.0,-1.0382,-0.2707,-1.1735,0,3.884,26.933,-0.0,-1.4792,-1.0,-1.9792,0,2.259,28.691
map_s5_n5_r2,0,-0.0,-1.369,-0.0565,-1.3973,0,8.25,32.965,-0.0,-1.359,-0.2675,-1.4928,0,8.238,32.964,-0.0,-1.6742,-1.0,-2.1742,0,9.232,37.67
map_s8_n1_r0,0,-0.0,-1.1417,-0.0565,-1.17,0,46.158,37.934,-0.0,-1.1318,-0.2805,-1.272,0,46.186,37.923,-0.0,-1.7383,-1.0,-2.2383,0,46.189,43.594
map_s8_n1_r1,0,-0.0,-1.9391,-0.0565,-1.9674,0,10.801,56.124,-0.0,-1.9491,-0.2718,-2.085,0,10.801,56.154,-0.0,-1.0229,-1.0,-1.5229,0,10.801,60.652
map_s8_n1_r2,0,-0.0,-1.0989,-0.0565,-1.1272,0,15.91,35.958,-0.0,-1.0889,-0.2638,-1.2209,0,15.907,35.952,-0.0,-1.9072,-1.0,-2.4072,0,14.515,40.871
map_s8_n3_r0,0,-0.0,-1.9872,-0.0565,-2.0154,0,7.876,49.472,-0.0,-1.9772,-0.2648,-2.1096,0,7.869,49.478,-0.0,-1.5462,-1.0,-2.0462,0,5.886,51.568
map_s8_n3_r1,0,-0.0,-1.1456,-0.0565,-1.1739,0,8.392,48.132,-0.0,-1.1357,-0.2695,-1.2704,0,8.395,48.132,-0.0,-1.1273,-1.0,-1.6273,0,5.564,50.355
map_s8_n3_r2,22,-0.0,-1.0124,-0.0565,-1.0406,0,5.25,23.876,-0.0,-1.0024,-0.2719,-1.1384,0,5.227,23.863,-0.0,-1.2337,-1.0,-1.7337,0,4.178,24.179
map_s8_n5_r0,32,-0.0,-1.5238,-0.0,-1.5238,0,3.179,25.387,-0.0,-1.5338,-0.2335,-1.6505,0,3.201,25.387,-0.0,-1.5238,-1.0,-2.0238,0,4.129,25.617
map_s8_n5_r1,0,-0.0,-1.05,-0.0565,-1.0782,0,6.391,45.03,-0.0,-1.04,-0.2709,-1.1755,0,6.385,45.034,-0.0,-1.4792,-1.0,-1.9792,0,4.498,46.742
map_s8_n5_r2,241,-0.0,-1.3415,-0.0012,-1.3421,0,2.094,40.294,-0.0,-1.3315,-0.2335,-1.4483,0,2.115,40.295,-0.0,-1.3396,-1.0,-1.8396,0,3.033,40.521
